provision_version_id,instrument_id,stable_provision_id,effective_from,effective_to_exclusive,application_basis,exact_change_kind,semantic_change,actor_role,modality,true_effect,false_effect,reserved_decision_owner,evidence_contract,rule_determinacy,authority_judgment_required,legal_linguistic_conflict,semantic_note,source_uri,source_paths,source_snapshot_hashes,source_snapshot_dates,source_quote,source_quote_sha256,temporal_status
EU-2020-1201:1:v1,EU-2020-1201,EU-2020-1201:1,2020-08-20,,EU-2020-1201 Article 38 entry into force,INITIAL,INITIAL,-,-,The definitions in points (a) to (d) apply for the purposes of the Regulation.,-,-,-,DETERMINISTIC_RULE,NO,-,-,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02020R1201-20200817,regulation/source/consolidations/02020R1201-20200817.txt;regulation/source/consolidations/02020R1201-20211011.txt;regulation/source/consolidations/02020R1201-20211223.txt;regulation/source/consolidations/02020R1201-20230928.txt;regulation/source/consolidations/02020R1201-20240605.txt;regulation/source/consolidations/02020R1201-20241017.txt;regulation/source/consolidations/02020R1201-20250701.txt;regulation/source/consolidations/02020R1201-20251124.txt,0c2f2f5a1c9f3aa6029968316919fd1c3302849388c0d8c92632e2533719a4b1;45e3ac62539f5f05dccfcb2980038efbaedf9961518a7232e565a63f08db99ae;7399f07ef01d86355316157be4a6a7fc1fb91d27785179b775cdbb1494a167ad;bc99293b1ca38ecc84d0751ec8c66f624f8d31fab2b2f521e48b57bf609c08bf;dd0488e1db242996cfa0fa99bb54197fd3b73a311661cc3f8b95571553c4990e;0b48eb0200b1547987dc8ef6353101b3a1f4aec1378632643e60cdab0688110c;12618f62fc97c09c8f913c103ff58d04537c7f386de1c74c12a12921a366f9fa;d00d33c426a1e12b81470a4c0c5c5000fdd91caece26057c028e886a07109273,2020-08-17;2021-10-11;2021-12-23;2023-09-28;2024-06-05;2024-10-17;2025-07-01;2025-11-24,"For the purposes of this Regulation, the following definitions shall apply:",5a8fca9473956551d5156a6951a87c839e5b279ffb7ec80d724c39fef11aac7c,CURRENT
EU-2020-1201:1(a):v1,EU-2020-1201,EU-2020-1201:1(a),2020-08-20,,EU-2020-1201 Article 38 entry into force,INITIAL,INITIAL,-,-,specified pest = Xylella fastidiosa and any subspecies,-,-,laboratory identification to subspecies where required,DETERMINISTIC_RULE,NO,-,-,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02020R1201-20200817,regulation/source/consolidations/02020R1201-20200817.txt;regulation/source/consolidations/02020R1201-20211011.txt;regulation/source/consolidations/02020R1201-20211223.txt;regulation/source/consolidations/02020R1201-20230928.txt;regulation/source/consolidations/02020R1201-20240605.txt;regulation/source/consolidations/02020R1201-20241017.txt;regulation/source/consolidations/02020R1201-20250701.txt;regulation/source/consolidations/02020R1201-20251124.txt,0c2f2f5a1c9f3aa6029968316919fd1c3302849388c0d8c92632e2533719a4b1;45e3ac62539f5f05dccfcb2980038efbaedf9961518a7232e565a63f08db99ae;7399f07ef01d86355316157be4a6a7fc1fb91d27785179b775cdbb1494a167ad;bc99293b1ca38ecc84d0751ec8c66f624f8d31fab2b2f521e48b57bf609c08bf;dd0488e1db242996cfa0fa99bb54197fd3b73a311661cc3f8b95571553c4990e;0b48eb0200b1547987dc8ef6353101b3a1f4aec1378632643e60cdab0688110c;12618f62fc97c09c8f913c103ff58d04537c7f386de1c74c12a12921a366f9fa;d00d33c426a1e12b81470a4c0c5c5000fdd91caece26057c028e886a07109273,2020-08-17;2021-10-11;2021-12-23;2023-09-28;2024-06-05;2024-10-17;2025-07-01;2025-11-24,‘specified pest’ means Xylella fastidiosa (Wells et al .) and any of its subspecies;,92d55837461a1a144b7a1197a6f8b60e3f1dcfe04330e9e35bc859b8e31b952d,CURRENT
EU-2020-1201:1(b):v1,EU-2020-1201,EU-2020-1201:1(b),2020-08-20,,EU-2020-1201 Article 38 entry into force,INITIAL,INITIAL,-,-,"host plants = plants for planting, not seeds, of genera or species in Annex I",-,-,taxon identification of the plant,DETERMINISTIC_RULE,NO,-,-,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02020R1201-20200817,regulation/source/consolidations/02020R1201-20200817.txt;regulation/source/consolidations/02020R1201-20211011.txt;regulation/source/consolidations/02020R1201-20211223.txt;regulation/source/consolidations/02020R1201-20230928.txt;regulation/source/consolidations/02020R1201-20240605.txt;regulation/source/consolidations/02020R1201-20241017.txt;regulation/source/consolidations/02020R1201-20250701.txt;regulation/source/consolidations/02020R1201-20251124.txt,0c2f2f5a1c9f3aa6029968316919fd1c3302849388c0d8c92632e2533719a4b1;45e3ac62539f5f05dccfcb2980038efbaedf9961518a7232e565a63f08db99ae;7399f07ef01d86355316157be4a6a7fc1fb91d27785179b775cdbb1494a167ad;bc99293b1ca38ecc84d0751ec8c66f624f8d31fab2b2f521e48b57bf609c08bf;dd0488e1db242996cfa0fa99bb54197fd3b73a311661cc3f8b95571553c4990e;0b48eb0200b1547987dc8ef6353101b3a1f4aec1378632643e60cdab0688110c;12618f62fc97c09c8f913c103ff58d04537c7f386de1c74c12a12921a366f9fa;d00d33c426a1e12b81470a4c0c5c5000fdd91caece26057c028e886a07109273,2020-08-17;2021-10-11;2021-12-23;2023-09-28;2024-06-05;2024-10-17;2025-07-01;2025-11-24,"‘host plants’ means all plants for planting, other than seeds, belonging to the genera or species listed in Annex I;",36359566d28150ef8358fb7e4cf2fc8146bbe3664a1a374da9e33501467c0499,CURRENT
EU-2020-1201:1(c):v1,EU-2020-1201,EU-2020-1201:1(c),2020-08-20,2024-10-17,EU-2020-1201 Article 38 entry into force,INITIAL,INITIAL,-,-,specified plants = host plants in Annex II susceptible to the specific subspecies,-,-,taxon identification plus subspecies of the finding,DETERMINISTIC_RULE,NO,-,-,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02020R1201-20200817,regulation/source/consolidations/02020R1201-20200817.txt;regulation/source/consolidations/02020R1201-20211011.txt;regulation/source/consolidations/02020R1201-20211223.txt;regulation/source/consolidations/02020R1201-20230928.txt;regulation/source/consolidations/02020R1201-20240605.txt,0c2f2f5a1c9f3aa6029968316919fd1c3302849388c0d8c92632e2533719a4b1;45e3ac62539f5f05dccfcb2980038efbaedf9961518a7232e565a63f08db99ae;7399f07ef01d86355316157be4a6a7fc1fb91d27785179b775cdbb1494a167ad;bc99293b1ca38ecc84d0751ec8c66f624f8d31fab2b2f521e48b57bf609c08bf;dd0488e1db242996cfa0fa99bb54197fd3b73a311661cc3f8b95571553c4990e,2020-08-17;2021-10-11;2021-12-23;2023-09-28;2024-06-05,"‘specified plants’ means host plants for planting, other than seeds, belonging to the genera or species listed in Annex II and known to be susceptible to the specific subspecies of the specified pest.",32b4872ba48cea990a652da2f90331205e31ba2ca1eff6543de48a3384f26954,SUPERSEDED
EU-2020-1201:1(c):v2,EU-2020-1201,EU-2020-1201:1(c),2024-10-17,,effective amending act reflected by dated consolidation,TEXT_CHANGED,NO,-,-,specified plants = host plants in Annex II susceptible to the specific subspecies,-,-,taxon identification plus subspecies of the finding,DETERMINISTIC_RULE,NO,-,-,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02020R1201-20241017,regulation/source/consolidations/02020R1201-20241017.txt;regulation/source/consolidations/02020R1201-20250701.txt;regulation/source/consolidations/02020R1201-20251124.txt,0b48eb0200b1547987dc8ef6353101b3a1f4aec1378632643e60cdab0688110c;12618f62fc97c09c8f913c103ff58d04537c7f386de1c74c12a12921a366f9fa;d00d33c426a1e12b81470a4c0c5c5000fdd91caece26057c028e886a07109273,2024-10-17;2025-07-01;2025-11-24,"‘specified plants’ means host plants for planting, other than seeds, belonging to the genera or species listed in Annex II and known to be susceptible to the specific subspecies of the specified pest;",123565d5c90dca67e7552c32715f93b999e376ea540ee94c59347e9cd15b78f6,CURRENT
EU-2020-1201:1(d):v1,EU-2020-1201,EU-2020-1201:1(d),2024-10-17,,effective amending act reflected by dated consolidation,INITIAL,INTRODUCED,-,-,"vector = Cicadomorpha known to transmit, or any insect suspected of transmitting",-,-,entomological identification,DETERMINISTIC_RULE__EVIDENCE_OR_POLICY_REQUIRED,YES,-,-,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02020R1201-20241017,regulation/source/consolidations/02020R1201-20241017.txt;regulation/source/consolidations/02020R1201-20250701.txt;regulation/source/consolidations/02020R1201-20251124.txt,0b48eb0200b1547987dc8ef6353101b3a1f4aec1378632643e60cdab0688110c;12618f62fc97c09c8f913c103ff58d04537c7f386de1c74c12a12921a366f9fa;d00d33c426a1e12b81470a4c0c5c5000fdd91caece26057c028e886a07109273,2024-10-17;2025-07-01;2025-11-24,"‘vector’ means Cicadomorpha insects known to transmit the specified pest to plants, or any other insect suspected of transmitting the specified pest to plants.",df4ab7db5dd72d7131746bd67121d9829beb716cc3f77e6358b4f7bf336060c6,CURRENT
EU-2020-1201:2(1):v1,EU-2020-1201,EU-2020-1201:2(1),2020-08-20,2024-10-17,EU-2020-1201 Article 38 entry into force,INITIAL,INITIAL,Member State concerned,shall,Conduct annual surveys of the host plants for detection of the specified pest.,not stated - default duty stands,-,annual host-plant survey records,DETERMINISTIC_RULE,NO,-,The suspicion-species limb and optional vector coverage enter only with the M5 text (v2); the 2020 text reaches host plants alone. Back-projection of the v2 population onto this interval was removed by the 2026-09-01 census.,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02020R1201-20200817,regulation/source/consolidations/02020R1201-20200817.txt;regulation/source/consolidations/02020R1201-20211011.txt;regulation/source/consolidations/02020R1201-20211223.txt;regulation/source/consolidations/02020R1201-20230928.txt;regulation/source/consolidations/02020R1201-20240605.txt,0c2f2f5a1c9f3aa6029968316919fd1c3302849388c0d8c92632e2533719a4b1;45e3ac62539f5f05dccfcb2980038efbaedf9961518a7232e565a63f08db99ae;7399f07ef01d86355316157be4a6a7fc1fb91d27785179b775cdbb1494a167ad;bc99293b1ca38ecc84d0751ec8c66f624f8d31fab2b2f521e48b57bf609c08bf;dd0488e1db242996cfa0fa99bb54197fd3b73a311661cc3f8b95571553c4990e,2020-08-17;2021-10-11;2021-12-23;2023-09-28;2024-06-05,1. Member States shall conduct annual surveys of the host plants for the detection of the specified pest in their territory.,19653bab8e497562821c64dd44d0eac83b9f180433088bab5b140f19c812cf62,SUPERSEDED
EU-2020-1201:2(1):v2,EU-2020-1201,EU-2020-1201:2(1),2024-10-17,,effective amending act reflected by dated consolidation,TEXT_CHANGED,YES,Member State concerned,shall,"Conduct annual surveys of host plants and, on suspicion of infection, any other plant species; the surveys may also cover vectors.",not stated - default duty stands,-,survey record per Annex V grain,DETERMINISTIC_RULE,NO,-,-,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02020R1201-20241017,regulation/source/consolidations/02020R1201-20241017.txt;regulation/source/consolidations/02020R1201-20250701.txt;regulation/source/consolidations/02020R1201-20251124.txt,0b48eb0200b1547987dc8ef6353101b3a1f4aec1378632643e60cdab0688110c;12618f62fc97c09c8f913c103ff58d04537c7f386de1c74c12a12921a366f9fa;d00d33c426a1e12b81470a4c0c5c5000fdd91caece26057c028e886a07109273,2024-10-17;2025-07-01;2025-11-24,"1. Member States shall conduct annual surveys of the host plants, and any other plant species in case of suspicion of infection, for the detection of the specified pest in their territory. Those surveys may also cover vectors.",284232fa45c8c942916a322e5d4729cdcaa77e3710e4a26b471979b8ebb41f6a,CURRENT
EU-2020-1201:2(2):v1,EU-2020-1201,EU-2020-1201:2(2),2020-08-20,,EU-2020-1201 Article 38 entry into force,INITIAL,INITIAL,competent authority,shall,survey carried out by the authority or under its official supervision,-,-,identity of the surveying body and its supervision,DETERMINISTIC_RULE,NO,-,-,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02020R1201-20200817,regulation/source/consolidations/02020R1201-20200817.txt;regulation/source/consolidations/02020R1201-20211011.txt;regulation/source/consolidations/02020R1201-20211223.txt;regulation/source/consolidations/02020R1201-20230928.txt;regulation/source/consolidations/02020R1201-20240605.txt;regulation/source/consolidations/02020R1201-20241017.txt;regulation/source/consolidations/02020R1201-20250701.txt;regulation/source/consolidations/02020R1201-20251124.txt,0c2f2f5a1c9f3aa6029968316919fd1c3302849388c0d8c92632e2533719a4b1;45e3ac62539f5f05dccfcb2980038efbaedf9961518a7232e565a63f08db99ae;7399f07ef01d86355316157be4a6a7fc1fb91d27785179b775cdbb1494a167ad;bc99293b1ca38ecc84d0751ec8c66f624f8d31fab2b2f521e48b57bf609c08bf;dd0488e1db242996cfa0fa99bb54197fd3b73a311661cc3f8b95571553c4990e;0b48eb0200b1547987dc8ef6353101b3a1f4aec1378632643e60cdab0688110c;12618f62fc97c09c8f913c103ff58d04537c7f386de1c74c12a12921a366f9fa;d00d33c426a1e12b81470a4c0c5c5000fdd91caece26057c028e886a07109273,2020-08-17;2021-10-11;2021-12-23;2023-09-28;2024-06-05;2024-10-17;2025-07-01;2025-11-24,"2. Those surveys shall be carried out by the competent authorities, or under the official supervision of the competent authorities.",785104b719df896c7c23621680229a8e94e6018ea924f664ec4d94f091fa727c,CURRENT
EU-2020-1201:2(3):v1,EU-2020-1201,EU-2020-1201:2(3),2020-08-20,,EU-2020-1201 Article 38 entry into force,INITIAL,INITIAL,Member State concerned,shall,"survey in open air including fields, orchards, vineyards, nurseries, garden and trading centres, natural areas. Survey sited by risk",-,-,site classification of each survey location,DETERMINISTIC_RULE,NO,-,-,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02020R1201-20200817,regulation/source/consolidations/02020R1201-20200817.txt;regulation/source/consolidations/02020R1201-20211011.txt;regulation/source/consolidations/02020R1201-20211223.txt;regulation/source/consolidations/02020R1201-20230928.txt;regulation/source/consolidations/02020R1201-20240605.txt;regulation/source/consolidations/02020R1201-20241017.txt;regulation/source/consolidations/02020R1201-20250701.txt;regulation/source/consolidations/02020R1201-20251124.txt,0c2f2f5a1c9f3aa6029968316919fd1c3302849388c0d8c92632e2533719a4b1;45e3ac62539f5f05dccfcb2980038efbaedf9961518a7232e565a63f08db99ae;7399f07ef01d86355316157be4a6a7fc1fb91d27785179b775cdbb1494a167ad;bc99293b1ca38ecc84d0751ec8c66f624f8d31fab2b2f521e48b57bf609c08bf;dd0488e1db242996cfa0fa99bb54197fd3b73a311661cc3f8b95571553c4990e;0b48eb0200b1547987dc8ef6353101b3a1f4aec1378632643e60cdab0688110c;12618f62fc97c09c8f913c103ff58d04537c7f386de1c74c12a12921a366f9fa;d00d33c426a1e12b81470a4c0c5c5000fdd91caece26057c028e886a07109273,2020-08-17;2021-10-11;2021-12-23;2023-09-28;2024-06-05;2024-10-17;2025-07-01;2025-11-24,"3. Those surveys shall be performed on the basis of the level of risk. They shall take place in open air, including cropping fields, orchards, vineyards, as well as nurseries, garden centres and/or trading centres, natural areas and other relevant locations.",4ef7789c39163e7eb78f44c32e15b108213ee54c6732d3671fb944c3124a71a3,CURRENT
EU-2020-1201:2(3)-sub1:v1,EU-2020-1201,EU-2020-1201:2(3)-sub1,2024-10-17,,effective amending act reflected by dated consolidation,INITIAL,INTRODUCED,Member State concerned,shall,restrict the survey to protected locations. Survey only where host plants are grown outside open air and pose a spread risk,the open-air survey of 2(3) applies in full,-,the ecoclimatic determination for the Member State,DETERMINISTIC_RULE__EVIDENCE_OR_POLICY_REQUIRED,YES,-,-,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02020R1201-20241017,regulation/source/consolidations/02020R1201-20241017.txt;regulation/source/consolidations/02020R1201-20250701.txt;regulation/source/consolidations/02020R1201-20251124.txt,0b48eb0200b1547987dc8ef6353101b3a1f4aec1378632643e60cdab0688110c;12618f62fc97c09c8f913c103ff58d04537c7f386de1c74c12a12921a366f9fa;d00d33c426a1e12b81470a4c0c5c5000fdd91caece26057c028e886a07109273,2024-10-17;2025-07-01;2025-11-24,"In those Member States where the specified pest cannot become established in open air due to the ecoclimatic conditions, surveys shall be carried out only in locations, other than in open air, where host plants are grown and are likely to pose a risk for spread of the specified pest to the Union territory.",4fdd2caeb7e20b58ee354704c23a8d4b97e267a372dd277ba1b0c9f81724d1aa,CURRENT
EU-2020-1201:2(4):v1,EU-2020-1201,EU-2020-1201:2(4),2020-08-20,2023-01-01,EU-2020-1201 Article 38 entry into force,INITIAL,INITIAL,Member State concerned,shall,"Collect samples and test plants for planting. The second sentence (survey design identifying, with at least 80 % confidence, a 1 % level of presence) is present in the text but does not yet apply in this interval.",-,-,plant sample and test records,DETERMINISTIC_RULE,NO,-,"Article 38, second paragraph: the second sentence of Article 2(4) applies from 1 January 2023. The version boundary is that delayed application, not a text change.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02020R1201-20200817,regulation/source/consolidations/02020R1201-20200817.txt;regulation/source/consolidations/02020R1201-20211011.txt;regulation/source/consolidations/02020R1201-20211223.txt,0c2f2f5a1c9f3aa6029968316919fd1c3302849388c0d8c92632e2533719a4b1;45e3ac62539f5f05dccfcb2980038efbaedf9961518a7232e565a63f08db99ae;7399f07ef01d86355316157be4a6a7fc1fb91d27785179b775cdbb1494a167ad,2020-08-17;2021-10-11;2021-12-23,"4. Those surveys shall consist in the collection of samples and testing of plants for planting. Taking into account the European Food Safety Authority’s (Authority) Guidelines for statistically sound and risk-based surveys of Xylella fastidiosa , the survey design and sampling scheme used shall be able to identify within the Member State concerned, with at least 80 % of confidence, a level of presence of infected plants of 1 %.",d0eec4b3d62739cde2bdebd3f35ee85580be938bcb0967271c12348d23dc0fb6,SUPERSEDED
