dependency_id,source_provision,target_instrument,target_provision,status,trigger,effect,evidence,note,source_token
EU1201-A18,index,EU-2020-1201,Article 18,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A19,index,EU-2020-1201,Article 19,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A20,index,EU-2020-1201,Article 20,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A21,index,EU-2020-1201,Article 21,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A22,index,EU-2020-1201,Article 22,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A23,index,EU-2020-1201,Article 23,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A24,index,EU-2020-1201,Article 24,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A25,index,EU-2020-1201,Article 25,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A26,index,EU-2020-1201,Article 26,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A27,index,EU-2020-1201,Article 27,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A28,index,EU-2020-1201,Article 28,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A29,index,EU-2020-1201,Article 29,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A30,index,EU-2020-1201,Article 30,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A31,index,EU-2020-1201,Article 31,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A33,index,EU-2020-1201,Article 33,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A35,index,EU-2020-1201,Article 35,DEPENDENCY_STUB,indexed reference,no Phase-1 transaction instantiated,-,Only paragraphs 1 and 4 are direct reporting dependencies,-
EU1201-A36,index,EU-2020-1201,Article 36,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A37,index,EU-2020-1201,Article 37,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU1201-A38,index,EU-2020-1201,Article 38,DEFERRED_INDEXED,indexed reference,no Phase-1 transaction instantiated,-,Later transaction family indexed without transaction objects,-
EU2031-A10,multiple,EU-2016-2031,Article 10,DEPENDENCY_STUB,suspicion/evidence of pest presence,official laboratory confirmation process,external submission/authority record,-,-
EU2031-A11,multiple,EU-2016-2031,Article 11,DEPENDENCY_STUB,official confirmation,Member-State electronic notification,external submission/authority record,-,-
EU2031-A12,multiple,EU-2016-2031,Article 12,DEPENDENCY_STUB,official confirmation,inform affected professional operators,external submission/authority record,-,-
EU2031-A13,multiple,EU-2016-2031,Article 13,DEPENDENCY_STUB,priority-pest confirmation,inform public about measures,external submission/authority record,-,-
EU2031-A14,multiple,EU-2016-2031,Article 14,DEPENDENCY_STUB,professional-operator suspicion/awareness,notification and immediate precautionary action,external submission/authority record,-,-
EU2031-A15,multiple,EU-2016-2031,Article 15,DEPENDENCY_STUB,other person awareness/suspicion,notification and instructed prevention/elimination,external submission/authority record,-,-
EU2031-A16,multiple,EU-2016-2031,Article 16,DEPENDENCY_STUB,known-presence area conditions,notification derogations,external submission/authority record,-,-
EU2031-A17,multiple,EU-2016-2031,Article 17,DEPENDENCY_STUB,official confirmation,eradication plus source/onward-spread investigation,external submission/authority record,-,-
EU2031-A18,multiple,EU-2016-2031,Article 18,DEPENDENCY_STUB,official confirmation,establish and electronically notify demarcated area,external submission/authority record,-,-
EU2031-A19,multiple,EU-2016-2031,Article 19,DEPENDENCY_STUB,"survey, buffer finding or lifting",review/modify/abolish area and Article 103 notifications,external submission/authority record,-,-
EU2031-A22,multiple,EU-2016-2031,Article 22,DEPENDENCY_STUB,annual survey results,annual survey reporting,external submission/authority record,-,-
EU2031-A22-3,2(8),EU-2016-2031,Article 22(3),IMPLEMENTED_DIRECT_DEPENDENCY,preceding-calendar-year annual survey results,report by 30 April through the Article 103 electronic system,report payload and external receipt record,directly imported by Regulation 2020/1201 Article 2(8),-
EU2031-A25,multiple,EU-2016-2031,Article 25,DEPENDENCY_STUB,contingency-plan duty,base contingency-plan content,external submission/authority record,-,-
